('Seversk', 56.603161, 84.881012)
('Satka', 55.040287, 59.028034)
('Arzamas', 55.3989463, 43.8408129)
('Kubinka', 55.5755486, 36.6952802)
('Kratovo', 42.079261, 22.1802182)
('Kanevskaya', 46.0848847, 38.9724318)
('Kovrov', 56.355386100000004, 41.3169929828466)
('Protvino', 54.8707703, 37.2188629)
('Kamensk-Uralsky', 56.415451, 61.917797)
('Belaya Kalitva', 48.1751778, 40.7902124)
('Vyksa', 55.318774, 42.1800408)
('Essentuki', 44.0470042, 42.8576575)
('Krasnoarmeysk', 56.1210895, 38.1457655)
('Bolshoy Kamen', 43.1121194, 132.3509104)
('Borovichi', 58.389009, 33.9068275)
('Rybinsk', 58.050373, 38.834637)
('Kislovodsk', 43.9128743, 42.7192186)
('Meleuz', 52.96328, 55.928612)
('Тимофеевка', 54.6477633, 21.8911259)
('Iskitim', 54.6426269, 83.3035676)
('Yuzhnouralsk', 54.4425364, 61.2682731)
('Murom', 55.5738, 42.0447)
('Neftekamsk', 56.0884031, 54.2478094)
('Novaya Adygeya', 45.0247666, 38.9331639)
('Shuya', 56.8558465, 41.3838496)
('Marks', 51.7069911, 46.7483653)
('Lipitsy', 58.354309, 31.135946)
('Rossosh', 50.1961874, 39.5764857)
('Azov', 47.1139219, 39.4259657)
('Borisoglebsk', 51.368015, 42.075169)
('Noyabrsk', 63.2002917, 75.4475807)
('Tuchkovo', 55.5955874, 36.469822307984714)
('Kandalaksha', 67.151442, 32.4130551)
('Novoshakhtinsk', 47.79626975, 39.893560422039265)
('Vyazma', 55.2103563, 34.2995187)
('Korkino', 54.889923, 61.407963)
('Zarechnyy', 64.572021, 30.870054)
('Komsomolsk-on-Amur', 50.550877, 137.020782)
('Enem', 44.9230727, 38.9071424)
('Korsakov', 46.632815, 142.7810147)
('Udomlya', 57.877998, 35.0042)
('Vyshny Volochyok', 57.5883648, 34.5720732)
('Kopeysk', 55.1131951, 61.6216332)
('Sarov', 54.934631, 43.334606)
('Yeysk', 46.7112094, 38.2747987)
('Syzran', 53.15538, 48.474121)
('Tikhoretsk', 45.854679, 40.128124)
('Mineralnye Vody', 44.2107377, 43.134969)
('Belovo', 54.419323, 86.303429)
('Elektrogorsk', 55.8792983, 38.7858721)
('Rubtsovsk', 51.5276264, 81.2176174)
('Ust-Katav', 54.9371593, 58.1264107)
('Novouralsk', 57.247047, 60.095818)
('Ukhta', 63.5623797, 53.6842376)
